Week,Amazon Profit,Amazon Loss,AMZN Buy,AMZN Sell,Amazon Stock up,Amazon Stock down,Trend
7/26/2020,85,69,85,31,41,10,0
8/2/2020,67,76,50,30,34,19,0
8/9/2020,59,69,42,16,37,14,0
8/16/2020,65,64,65,25,36,15,0
8/23/2020,74,63,61,11,41,24,0
8/30/2020,66,62,73,49,47,44,0
9/6/2020,94,64,50,0,23,32,0
9/13/2020,64,74,48,0,37,56,0
9/20/2020,56,56,55,12,41,24,0
9/27/2020,58,65,20,12,30,10,0
10/4/2020,67,77,41,50,26,12,1
10/11/2020,59,71,76,37,44,18,0
10/18/2020,72,68,42,13,27,17,0
10/25/2020,61,73,63,0,28,35,0
11/1/2020,49,45,33,39,26,28,1
11/8/2020,67,66,40,67,35,38,1
11/15/2020,66,65,64,21,41,23,0
11/22/2020,46,62,42,0,38,25,0
11/29/2020,70,75,46,22,31,27,0
12/6/2020,63,58,59,0,32,19,0
12/13/2020,58,67,50,0,31,22,0
12/20/2020,51,59,35,0,26,9,0
12/27/2020,60,89,32,33,31,20,1
1/3/2021,57,93,62,22,37,21,0
1/10/2021,68,72,54,0,32,56,0
1/17/2021,65,83,28,40,38,27,1
1/24/2021,64,82,71,0,44,26,0
1/31/2021,73,85,71,37,72,82,0
2/7/2021,71,73,35,27,33,29,0
2/14/2021,61,73,36,15,22,22,0
2/21/2021,74,79,22,25,32,40,1
2/28/2021,69,84,74,19,29,42,0
3/7/2021,76,70,22,27,32,16,0
3/14/2021,45,78,21,15,23,18,1
3/21/2021,43,79,51,0,27,20,0
3/28/2021,56,72,34,13,24,11,0
4/4/2021,62,78,7,0,11,12,1
4/11/2021,49,80,22,26,17,6,1
4/18/2021,53,72,34,0,16,17,0
4/25/2021,69,66,43,83,13,19,1
5/2/2021,69,72,63,21,35,37,0
5/9/2021,49,70,34,22,32,35,1
5/16/2021,44,63,26,0,17,10,0
5/23/2021,57,76,40,0,25,3,0
5/30/2021,44,66,29,13,32,8,0
6/6/2021,53,71,46,32,19,6,0
6/13/2021,45,61,29,0,19,18,0
6/20/2021,61,78,57,0,32,18,0
6/27/2021,51,63,12,21,15,7,1
7/4/2021,58,72,36,21,38,16,0
7/11/2021,46,79,22,31,17,12,1
7/18/2021,70,65,34,0,22,7,0
7/25/2021,60,64,64,0,26,46,0
8/1/2021,46,57,33,0,19,14,0
8/8/2021,46,61,33,0,8,19,0
8/15/2021,32,51,9,20,18,40,1
8/22/2021,58,71,37,13,13,5,0
8/29/2021,38,67,22,0,16,7,0
9/5/2021,55,56,10,0,20,5,0
9/12/2021,71,61,17,0,11,8,0
9/19/2021,54,55,19,0,8,11,0
9/26/2021,60,62,11,23,13,15,1
10/3/2021,50,53,22,0,21,36,0
10/10/2021,51,57,20,0,23,17,0
10/17/2021,50,50,29,0,24,13,0
10/24/2021,71,60,53,29,23,11,0
10/31/2021,50,60,32,29,27,15,0
11/7/2021,59,71,26,16,31,17,0
11/14/2021,54,64,17,22,27,20,1
11/21/2021,49,55,34,51,19,10,1
11/28/2021,55,64,11,15,17,13,1
12/5/2021,59,67,13,20,36,50,1
12/12/2021,61,64,17,0,27,15,0
12/19/2021,49,56,33,0,13,0,0
12/26/2021,40,69,0,16,13,12,1
1/2/2022,75,94,27,0,15,37,1
1/9/2022,58,84,12,0,20,12,1
1/16/2022,77,75,40,59,23,73,1
1/23/2022,57,73,71,43,25,57,1
1/30/2022,100,96,62,45,39,29,0
2/6/2022,90,95,18,0,21,16,0
2/13/2022,85,77,32,42,16,18,1
2/20/2022,65,78,40,14,26,29,0
2/27/2022,61,79,41,0,23,13,0
