Week,Carvana Co,Carvana stock down,Carvana bankruptcy,Carvana short,Carvana loss,Trending
7/26/2020,41,0,4,0,0,0
8/2/2020,43,0,0,24,24,0
8/9/2020,43,0,12,0,84,1
8/16/2020,40,0,0,0,0,0
8/23/2020,37,0,11,8,38,0
8/30/2020,38,19,5,7,0,0
9/6/2020,38,49,3,0,65,1
9/13/2020,35,0,0,0,0,0
9/20/2020,37,0,6,11,61,1
9/27/2020,36,61,0,0,0,0
10/4/2020,35,0,3,11,0,0
10/11/2020,35,0,0,7,0,0
10/18/2020,35,0,0,12,0,0
10/25/2020,36,0,3,6,0,0
11/1/2020,29,0,3,0,20,0
11/8/2020,35,22,0,0,30,0
11/15/2020,36,0,0,18,0,0
11/22/2020,32,0,0,8,28,0
11/29/2020,33,0,0,0,0,0
12/6/2020,32,0,0,9,0,0
12/13/2020,33,0,4,7,0,0
12/20/2020,36,0,0,18,0,0
12/27/2020,41,0,0,15,87,1
1/3/2021,40,0,0,0,0,0
1/10/2021,41,35,0,0,62,1
1/17/2021,42,0,0,8,22,0
1/24/2021,45,100,0,13,29,1
1/31/2021,43,0,0,0,65,1
2/7/2021,44,64,0,0,50,1
2/14/2021,43,0,0,0,62,1
2/21/2021,51,0,0,19,0,0
2/28/2021,51,0,6,8,48,1
3/7/2021,53,22,0,0,0,0
3/14/2021,51,22,6,8,27,1
3/21/2021,54,0,7,37,50,1
3/28/2021,52,0,0,18,0,0
4/4/2021,55,0,0,0,33,0
4/11/2021,51,0,8,0,0,0
4/18/2021,52,0,4,15,0,0
4/25/2021,53,0,0,8,0,0
5/2/2021,53,0,6,16,0,0
5/9/2021,55,0,4,17,57,1
5/16/2021,57,0,0,11,0,0
5/23/2021,53,0,0,0,34,0
5/30/2021,56,48,4,39,24,1
6/6/2021,59,0,0,20,31,1
6/13/2021,52,0,0,15,0,0
6/20/2021,53,0,4,9,0,0
6/27/2021,56,0,0,0,0,0
7/4/2021,59,0,0,19,0,0
7/11/2021,58,31,0,8,0,0
7/18/2021,54,0,0,0,0,0
7/25/2021,53,0,3,11,0,0
8/1/2021,51,0,0,0,0,0
8/8/2021,52,0,0,0,0,0
8/15/2021,52,0,0,10,48,1
8/22/2021,52,0,0,8,37,0
8/29/2021,47,0,0,13,100,1
9/5/2021,50,31,0,15,0,0
9/12/2021,50,0,3,7,56,1
9/19/2021,49,26,0,16,0,0
9/26/2021,48,0,0,7,25,0
10/3/2021,46,0,0,28,23,0
10/10/2021,49,21,0,18,0,0
10/17/2021,54,0,0,0,0,0
10/24/2021,50,0,0,0,28,0
10/31/2021,51,0,4,30,0,0
11/7/2021,53,0,6,28,0,0
11/14/2021,55,0,0,0,0,0
11/21/2021,51,0,0,35,0,0
11/28/2021,51,0,7,21,0,0
12/5/2021,50,0,0,9,66,1
12/12/2021,47,28,0,12,69,1
12/19/2021,48,0,5,0,0,0
12/26/2021,54,0,0,13,57,1
1/2/2022,58,0,3,15,0,0
1/9/2022,55,0,5,0,32,0
1/16/2022,55,60,0,15,42,1
1/23/2022,58,0,0,37,0,0
1/30/2022,60,0,3,9,23,0
2/6/2022,65,0,0,12,27,1
2/13/2022,68,0,7,14,39,1
2/20/2022,66,38,6,13,39,1
2/27/2022,65,0,3,0,0,0
3/6/2022,72,0,0,0,25,0
3/13/2022,67,0,0,13,34,1
3/20/2022,62,0,4,0,28,0
3/27/2022,58,0,0,0,55,1
4/3/2022,59,0,0,6,32,0
4/10/2022,55,0,5,0,44,1
4/17/2022,61,0,0,22,65,1
4/24/2022,59,0,7,26,31,1
5/1/2022,56,0,6,10,0,0
5/8/2022,78,31,0,31,59,1
5/15/2022,63,28,6,17,84,1
5/22/2022,58,0,5,10,52,1
5/29/2022,57,25,4,9,0,0
6/5/2022,57,0,5,18,36,1
6/12/2022,59,0,3,9,26,0
6/19/2022,56,0,0,12,0,0
6/26/2022,58,18,0,7,41,1
7/3/2022,57,0,13,34,35,1
7/10/2022,56,0,6,21,23,1
7/17/2022,58,0,7,13,0,0
7/24/2022,55,24,0,7,70,1
7/31/2022,56,0,3,20,27,1
8/7/2022,58,27,6,12,43,1
8/14/2022,58,20,0,0,0,0
8/21/2022,55,25,12,13,0,1
8/28/2022,47,0,0,16,0,0
9/4/2022,47,0,3,0,0,0
9/11/2022,49,0,0,0,51,0
9/18/2022,47,0,3,0,22,0
9/25/2022,48,20,4,10,0,0
10/2/2022,48,0,6,9,0,0
10/9/2022,48,0,0,8,0,0
