Date,Open,High,Low,Close,Adj Close,Volume
4/28/2017,13.5,13.94,10.7,11.1,11.1,11297800
5/1/2017,11.6,11.73,10.7,10.77,10.77,1291300
5/2/2017,10.95,10.95,10,10.1,10.1,991500
5/3/2017,10.18,10.18,8.18,8.72,8.72,3356500
5/4/2017,8.59,10.04,8.14,9.98,9.98,1840200
5/5/2017,10.15,11.05,9.75,10.92,10.92,1691900
5/8/2017,11.04,11.14,10.5,10.8,10.8,580000
5/9/2017,10.8,11.09,10.4,10.55,10.55,547400
5/10/2017,10.56,10.74,9.61,10.74,10.74,672600
5/11/2017,10.62,11.35,10.4,11,11,429200
5/12/2017,11.03,11.47,10.6,11.35,11.35,361700
5/15/2017,11.45,11.7,11.353,11.52,11.52,430200
5/16/2017,11.7,11.82,11.487,11.76,11.76,335500
5/17/2017,11.68,11.87,10.91,11.66,11.66,449900
5/18/2017,11.5,11.88,11.24,11.52,11.52,404800
5/19/2017,11.62,11.713,11.261,11.4,11.4,221300
5/22/2017,12.39,12.39,10.99,11.08,11.08,913000
5/23/2017,11.63,11.74,10.31,10.81,10.81,1054600
5/24/2017,11.07,11.59,10.83,10.91,10.91,721800
5/25/2017,11.05,11.08,10.58,10.65,10.65,437700
5/26/2017,10.73,10.878,10.49,10.73,10.73,612000
5/30/2017,10.79,10.875,10,10.18,10.18,651300
5/31/2017,10.18,10.435,9.39,10.05,10.05,927600
6/1/2017,10.04,10.3,9.03,9.33,9.33,745000
6/2/2017,9.33,9.6,9.26,9.53,9.53,652700
6/5/2017,9.57,9.72,8.845,9,9,630300
6/6/2017,9.24,9.81,9.06,9.53,9.53,1470000
6/7/2017,10.94,12.83,10.5,12.66,12.66,6085100
6/8/2017,13.12,14.5,12.86,13.2,13.2,3613400
6/9/2017,13.32,13.7,12.98,13.3,13.3,760600
6/12/2017,13.53,14.08,12.13,14,14,1351000
6/13/2017,14.33,15.49,14.06,15.11,15.11,833900
6/14/2017,15.39,16.837999,15.38,16.700001,16.700001,1466600
6/15/2017,16.41,17.940001,16.02,17.68,17.68,986300
6/16/2017,17.6,19.799999,17.6,19.309999,19.309999,2568700
6/19/2017,19.75,20.43,18.809999,19.540001,19.540001,1173200
6/20/2017,19.66,19.780001,18.370001,18.91,18.91,733900
6/21/2017,19.139999,20,19.139999,19.530001,19.530001,468900
6/22/2017,19.700001,22.799999,19.379999,21.139999,21.139999,1686400
6/23/2017,21.719999,21.719999,19.82,21.43,21.43,2735700
6/26/2017,21.5,23.700001,21.329,23.389999,23.389999,1252000
6/27/2017,23.59,23.59,21.75,22.17,22.17,994400
6/28/2017,22.07,22.275,20.360001,20.66,20.66,933200
6/29/2017,20.73,21.15,20.27,20.6,20.6,452800
6/30/2017,20.66,20.799999,20.200001,20.469999,20.469999,170800
7/3/2017,20.42,20.459999,18.934,19.209999,19.209999,292400
7/5/2017,19,21.5,18.629999,21.18,21.18,630900
7/6/2017,21.030001,21.07,19.290001,20.18,20.18,665000
7/7/2017,20.15,21.200001,19.6,21,21,491100
7/10/2017,21,22.25,20.33,21.99,21.99,603100
7/11/2017,22.01,22.1,20.629999,21.559999,21.559999,522600
7/12/2017,21.66,22.67,21.66,22.4,22.4,626300
7/13/2017,22.35,23.52,22.040001,22.98,22.98,801400
7/14/2017,22.98,23.129999,22.549999,22.93,22.93,215600
7/17/2017,23.209999,23.361,21.639999,21.799999,21.799999,394300
7/18/2017,21.620001,21.92,21.09,21.530001,21.530001,306500
7/19/2017,21.549999,22.4,21.299999,22.26,22.26,255900
7/20/2017,22.42,22.42,21.5,21.6,21.6,280800
7/21/2017,21.66,22.1,21.232,21.4,21.4,522100
7/24/2017,21.440001,21.75,20.030001,21.620001,21.620001,519400
7/25/2017,21.42,21.48,20.6,20.870001,20.870001,394800
7/26/2017,20.780001,21.379999,20.549999,21.35,21.35,252600
7/27/2017,21.190001,21.621,20.806,20.99,20.99,291000
7/28/2017,20.6,21.24,20.389999,20.41,20.41,223600
7/31/2017,20.25,20.25,18.950001,19.52,19.52,667800
8/1/2017,19.440001,19.636999,18.66,18.709999,18.709999,477200
8/2/2017,18.65,19.530001,18.530001,19.059999,19.059999,458700
8/3/2017,19.059999,19.159,16.879999,17.41,17.41,1071600
8/4/2017,17.200001,18.030001,16.200001,18.02,18.02,796300
8/7/2017,18.030001,19,17.76,18.57,18.57,460300
8/8/2017,18.75,19.85,18.559999,19.23,19.23,965100
8/9/2017,18.309999,18.98,16.5,18.09,18.09,1752700
8/10/2017,17.9,17.969999,16.700001,17.209999,17.209999,892200
8/11/2017,16.530001,17.65,16.25,16.33,16.33,800700
8/14/2017,16.370001,16.6,14.8,15.37,15.37,1472900
8/15/2017,15.31,15.54,14.38,14.79,14.79,1371000
8/16/2017,14.72,15.87,14.606,15.15,15.15,890400
8/17/2017,14.91,15.43,14.8,15.18,15.18,606700
8/18/2017,14.98,15.2,13.82,14.21,14.21,1894600
8/21/2017,13.88,14.73,13.44,14.62,14.62,874100
8/22/2017,14.45,15.6,14.26,15.51,15.51,671700
8/23/2017,15.38,18.040001,15.25,15.94,15.94,1576200
8/24/2017,16.08,16.527,15.54,15.92,15.92,1248400
8/25/2017,16.129999,16.440001,14.79,14.84,14.84,748400
8/28/2017,14.8,15.59,14.6,15.5,15.5,424000
8/29/2017,15.38,15.83,14.9,15.74,15.74,469500
8/30/2017,15.85,17.940001,15.55,17.530001,17.530001,1247200
8/31/2017,17.82,19.190001,17.66,17.85,17.85,1107400
9/1/2017,17.889999,17.889999,16.34,17.34,17.34,568900
9/5/2017,17.219999,17.379999,16.120001,16.74,16.74,422000
9/6/2017,16.85,17.9,16.639999,17.870001,17.870001,482300
9/7/2017,18.25,18.870001,18.190001,18.75,18.75,571900
