Week,Carvana profit,Carvana loss,CVNA buy,CVNA Sell,Carvana stock up,Carvana stock down,Trend,,
7/26/2020,21,0,0,0,0,0,0,,
8/2/2020,15,24,0,21,0,0,1,,
8/9/2020,0,84,0,33,0,0,1,,
8/16/2020,0,0,0,0,0,0,0,,
8/23/2020,0,38,0,25,0,0,1,,
8/30/2020,32,0,25,0,0,19,0,,
9/6/2020,0,65,0,0,0,49,1,,
9/13/2020,15,0,0,0,0,0,0,,
9/20/2020,0,61,0,0,39,0,1,,
9/27/2020,0,0,27,0,0,61,1,,
10/4/2020,0,0,94,0,0,0,0,,
10/11/2020,20,0,0,0,0,0,0,,
10/18/2020,0,0,60,0,0,0,0,,
10/25/2020,0,0,0,0,0,0,0,,
11/1/2020,0,20,24,0,0,0,0,,
11/8/2020,0,30,0,34,0,22,1,,
11/15/2020,0,0,23,0,0,0,0,,
11/22/2020,0,28,0,0,0,0,1,,
11/29/2020,0,0,0,0,29,0,0,,
12/6/2020,0,0,0,43,0,0,1,,
12/13/2020,0,0,0,70,0,0,1,,
12/20/2020,24,0,0,57,0,0,1,,
12/27/2020,0,87,30,41,30,0,1,,
1/3/2021,32,0,0,0,0,0,0,,
1/10/2021,0,62,0,0,27,35,1,,
1/17/2021,23,22,0,0,33,0,0,,
1/24/2021,0,29,96,0,0,100,1,,
1/31/2021,0,65,0,0,26,0,1,,
2/7/2021,0,50,0,0,0,64,1,,
2/14/2021,17,62,0,0,26,0,1,,
2/21/2021,0,0,0,0,0,0,0,,
2/28/2021,0,48,0,0,0,0,1,,
3/7/2021,0,0,36,0,26,22,0,,
3/14/2021,0,27,0,0,0,22,1,,
3/21/2021,0,50,0,0,26,0,1,,
3/28/2021,0,0,59,0,57,0,0,,
4/4/2021,26,33,62,0,0,0,0,,
4/11/2021,24,0,0,0,0,0,0,,
4/18/2021,0,0,0,0,0,0,0,,
4/25/2021,0,0,23,0,0,0,0,,
5/2/2021,28,0,0,45,0,0,1,,
5/9/2021,0,57,0,0,0,0,1,,
5/16/2021,0,0,0,46,60,0,0,,
5/23/2021,20,34,0,0,0,0,1,,
5/30/2021,17,24,79,0,0,48,0,,
